region,per_capita,child_mortality/newborn,disabled/population,morbidity,poverty_percent,welfare/population,poverty: children,poverty: retired,poverty: employable,housing: bad condition,housing: area,housing: n_room,population,gross/population,region_prod/population,retail,newborn/population,budget/population,part children,part retired
"Адыгея, республика",30293.0,0.317,7.065,66252.3,12.5,1540.19,44.6,5.4,50.1,27.4,27.0,3.1,463088.0,309184.1,263.51,231447.0,0.95,76247.0,19.2,25.3
"Алтай, республика",21677.0,0.745,9.572,89433.5,23.8,2656.65,44.5,2.9,52.6,9.3,19.5,2.4,220181.0,283451.4,79.13,135351.0,1.34,134174.0,28.2,17.9
Алтайский край,23864.0,0.486,7.411,112764.7,17.5,1977.39,31.4,9.2,59.4,13.4,25.9,2.4,2317153.0,291156.9,367.88,153605.0,0.86,66579.0,18.9,26.6
Амурская область,35499.0,0.535,8.088,83412.0,15.2,2888.17,38.4,4.7,56.9,16.8,23.2,2.3,790044.0,571362.1,512.09,245233.0,0.99,133095.0,20.3,22.6
Архангельская область,34852.0,0.348,7.755,99842.1,12.3,2219.51,28.5,7.2,64.3,14.5,24.6,2.4,1092424.0,514200.4,607.92,250033.0,0.82,103716.0,18.6,26.2
Астраханская область,25199.0,0.587,4.314,64679.9,15.6,2012.49,42.1,5.5,52.4,19.4,24.9,2.3,1005782.0,526950.9,720.43,174527.0,1.08,64092.0,20.2,23.7
"Башкортостан, республика",30249.0,0.578,6.098,84448.9,11.6,1450.8,40.1,4.5,55.4,17.9,23.3,2.4,4038151.0,425161.0,764.87,226691.0,1.02,64768.0,20.2,23.4
Белгородская область,32841.0,0.381,12.69,74637.4,7.2,1387.05,44.8,12.9,42.3,11.7,25.1,2.6,1549151.0,646569.0,1257.65,237076.0,0.8,86152.0,16.6,27.2
Брянская область,28596.0,0.432,8.82,77439.0,13.6,1664.67,44.8,3.7,51.6,4.6,30.5,3.2,1192491.0,347204.5,475.41,225643.0,0.79,72063.0,16.9,27.3
"Бурятия, республика",26092.0,0.547,7.556,61456.1,19.9,2449.77,41.7,3.7,54.6,17.6,22.7,2.4,985937.0,307558.8,357.72,199747.0,1.28,96069.0,24.2,19.7
Владимирская область,25922.0,0.603,8.931,94163.6,12.5,1725.12,34.8,4.8,60.4,15.8,24.2,2.2,1358416.0,410443.6,855.89,177680.0,0.74,66351.0,16.4,28.9
Волгоградская область,24864.0,0.493,6.86,64210.5,11.9,1536.28,46.2,4.0,49.8,13.9,25.6,2.5,2491036.0,394256.5,726.02,167446.0,0.79,61207.0,17.1,26.9
Вологодская область,29522.0,0.552,7.991,91608.4,12.8,2562.02,43.1,2.3,54.6,9.6,22.9,2.2,1160445.0,544379.2,1339.89,182920.0,0.92,98920.0,19.1,25.9
Воронежская область,32078.0,0.365,9.254,55009.9,8.5,1562.6,28.5,2.3,69.2,11.4,29.0,2.6,2324205.0,459629.5,618.08,252416.0,0.82,72343.0,15.4,28.5
"Дагестан, республика",27661.0,0.682,9.819,80693.8,14.8,1649.44,38.3,5.0,56.7,23.3,29.9,3.6,3110858.0,239640.7,43.46,188325.0,1.49,58284.0,26.1,13.2
Еврейская АО,28048.0,0.685,7.871,70367.2,23.6,4145.24,34.8,10.8,54.4,13.1,20.1,2.2,158305.0,400340.5,353.36,168066.0,1.01,132860.0,21.0,22.5
Забайкальский край,27046.0,0.513,7.256,65922.4,20.9,2416.3,33.4,7.2,59.3,13.0,23.1,2.4,1059700.0,402594.6,452.08,164741.0,1.18,91181.0,22.7,20.1
Ивановская область,26277.0,0.37,7.679,88473.5,13.7,1682.45,47.5,5.0,47.5,19.1,25.2,2.4,997135.0,273821.5,440.84,180314.0,0.76,67030.0,16.3,28.5
"Ингушетия, республика",16877.0,0.555,11.479,60547.7,30.0,2294.02,38.1,10.6,51.3,5.0,38.2,4.9,507061.0,142199.7,16.87,50713.0,1.67,70585.0,29.3,12.0
Иркутская область,27571.0,0.615,8.661,99980.3,17.6,2887.43,41.5,7.0,51.5,16.0,21.3,2.4,2391193.0,631591.9,1018.67,164879.0,1.13,100959.0,21.5,22.4
Кабардино-Балкарская республика,21957.0,0.538,6.553,44792.0,24.2,2207.47,35.9,6.7,57.4,26.1,25.8,3.3,868350.0,210674.1,115.4,154476.0,1.22,64171.0,21.5,19.7
Калининградская область,29518.0,0.377,6.693,82758.6,13.5,1743.52,29.1,6.1,64.8,13.4,23.1,2.3,1012512.0,530036.9,1287.55,183286.0,0.92,138375.0,17.4,25.0
"Калмыкия, республика",19811.0,0.289,7.83,71872.7,22.7,2036.37,33.8,0.3,65.9,18.0,30.7,3.1,271135.0,344933.1,41.82,86002.0,1.02,83801.0,21.9,21.2
Калужская область,32442.0,0.311,7.597,75548.6,9.7,1579.84,31.1,18.4,50.4,16.8,22.6,2.2,1002575.0,558174.6,1843.43,214672.0,0.9,93482.0,16.5,27.7
Камчатский край,55373.0,0.432,4.276,77458.3,14.6,4492.88,42.6,5.9,51.5,21.7,23.9,2.2,313016.0,942802.0,1142.52,202352.0,1.04,337810.0,18.7,20.3
Карачаево-Черкесская республика,18949.0,0.488,11.072,63347.1,23.2,1968.88,27.6,6.9,65.5,23.2,24.3,2.9,465528.0,207471.5,174.29,83515.0,1.1,74298.0,20.7,21.5
"Карелия, республика",32583.0,0.442,9.769,112365.5,15.1,2687.05,39.0,3.0,58.1,15.5,23.2,2.4,614064.0,522245.3,799.27,226569.0,0.85,111035.0,18.2,26.6
Кемеровская область,25433.0,0.572,8.11,86241.9,13.2,1740.88,39.7,4.5,55.8,11.5,23.3,2.4,2657854.0,392374.9,1140.62,153033.0,0.85,75690.0,19.5,25.1
Кировская область,24192.0,0.377,9.486,74475.5,14.0,1796.71,40.8,3.4,55.7,11.1,22.9,2.2,1262402.0,315153.9,484.98,163224.0,0.84,65098.0,17.8,28.6
