region,per_capita,disabled/population,poverty_percent,housing: n_room,population,gross/population,retail,newborn/population,part children
"Адыгея, республика",0.3496382394740065,-0.21666715371115347,-0.11549107511974312,0.5675136160101697,0.4153402087866811,0.21572788575953483,0.7275328517331268,0.2855035366737201,0.3141142508186294
"Алтай, республика",0.1496063507158496,1.0067538993129972,1.68318413577584,0.32574931136717744,0.2840069457540937,0.19159266243535011,0.47044252792223773,0.6070769742490867,0.766252098091257
Алтайский край,0.20705760433091136,-0.047818456325291754,0.8243299548042389,0.32574931136717744,0.6997775976403655,0.19904230498371778,0.5310697463398757,0.19245259036753196,0.2955913280307976
Амурская область,0.4444274829327357,0.2825589082129411,0.4307583800355457,0.2855458966287848,0.5097014590670417,0.3862889352258123,0.7552593526848046,0.3240618801159809,0.37964002434988586
Архангельская область,0.43343323941084755,0.12005423702943835,-0.16054303093518096,0.32574931136717744,0.5669475760712401,0.35701152592120655,0.7645485655621158,0.14792477918016594,0.27677202593225614
Астраханская область,0.2395928045032738,-1.5591606985334272,0.5033120879712504,0.2855458966287848,0.5523503508556764,0.3638147621753296,0.592263455923983,0.4054094525647509,0.3738317098877397
"Башкортостан, республика",0.34876944891818695,-0.6885651027635487,-0.32420594815247966,0.32574931136717744,0.7978972645225861,0.3041991469009049,0.7175828369343078,0.35197163360624667,0.3738317098877397
Белгородская область,0.39790978253116016,2.5283441838480205,-1.6563315259666336,0.401360667751128,0.628652727469204,0.42063431664557926,0.7390483789221882,0.12483947515280819,0.14297095359472944
Брянская область,0.3151804809647869,0.6397763836073089,0.12008730656769814,0.5975046322159336,0.5824300962216047,0.24794024520621427,0.7153622620612659,0.11307947970977772,0.1640374502788946
"Бурятия, республика",0.260407654335026,0.022941835931789414,1.1833037588164748,0.32574931136717744,0.5488300454178374,0.2142639876422523,0.6569444417575916,0.5642493041204507,0.5863324170715805
Владимирская область,0.2565006012095248,0.6939446073351427,-0.11549107511974312,0.2435550874804171,0.6054431234691127,0.29441426348348454,0.6008437107068891,0.05195266009089938,0.1287140361475103
Волгоградская область,0.23159347621365178,-0.316707566902199,-0.25288733230225574,0.3643113049039751,0.7125598670325328,0.28323858104729593,0.572414966954903,0.11307947970977772,0.17787503680494554
Вологодская область,0.33422877922655125,0.23522271270303205,-0.049247004894128386,0.2435550874804171,0.577618008827711,0.3728523078619044,0.6147720305267832,0.2555039368162416,0.3079722980193029
Воронежская область,0.3838592813119712,0.8515692583629852,-1.1927083622262378,0.401360667751128,0.700314395168222,0.32585036058885164,0.7690942355911137,0.14792477918016594,0.05471597192247746
"Дагестан, республика",0.2953106516213726,1.1272903971578185,0.35626968019301025,0.7087669238580587,0.7518114132895957,0.14495883392351727,0.6287269831991118,0.7062767224004811,0.675231352380683
Еврейская АО,0.30361511722375845,0.17666247083510336,1.6596130194727792,0.2435550874804171,0.22572554409422518,0.28749193222306246,0.5741860817889064,0.34276064963595315,0.4195143950760998
Забайкальский край,0.28187156931107094,-0.12345876873803313,1.320250828412153,0.32574931136717744,0.5615750874501606,0.2890513926073255,0.5646102558717079,0.48819867111345233,0.5110712714447421
Ивановская область,0.2646306278340651,0.0829660838464168,0.1405501138820122,0.32574931136717744,0.5508250758919149,0.18199252263219057,0.6078956806780562,0.0768849992476095,0.12152024437443698
"Ингушетия, республика",0.0,1.9373737429975029,2.329833801216035,1.0,0.4313648483440955,0.0,0.0,0.8129005699506817,0.811259307967517
Иркутская область,0.29336273113015743,0.5621840631323025,0.8402454434824803,0.32574931136717744,0.70533378368142,0.4141248928130996,0.5650115179805395,0.447720170891135,0.44719052583501506
Кабардино-Балкарская республика,0.15727745818985284,-0.4665241856809843,1.7297378918590878,0.6265726999712982,0.5263959557516309,0.10917706170412833,0.5337794200101467,0.5193651341292459,0.44719052583501506
Калининградская область,0.33414778897548825,-0.3982039035017339,0.09947348085936923,0.2855458966287848,0.5535284319375411,0.3654366008452259,0.615729926547063,0.2555039368162416,0.19833087915405656
"Калмыкия, республика",0.09580398819223124,0.1566543881968941,1.5510099383329228,0.5675136160101697,0.32077957225818765,0.24611725973305187,0.25311701833134936,0.35197163360624667,0.4688719008360427
