region,per_capita,disabled/population,poverty_percent,housing: n_room,population,gross/population,retail,newborn/population,part children,part retired
"Адыгея, республика",0.3496382394740065,7.065,2.5257286443082556,0.5675136160101697,0.4153402087866811,0.21572788575953483,0.7275328517331268,0.2855035366737201,0.3141142508186294,0.8398222715120265
"Алтай, республика",0.1496063507158496,9.572,3.169685580677429,0.32574931136717744,0.2840069457540937,0.19159266243535011,0.47044252792223773,0.6070769742490867,0.766252098091257,0.5267695284200604
Алтайский край,0.20705760433091136,7.411,2.8622008809294686,0.32574931136717744,0.6997775976403655,0.19904230498371778,0.5310697463398757,0.19245259036753196,0.2955913280307976,0.8851572729626032
Амурская область,0.4444274829327357,8.088,2.7212954278522306,0.2855458966287848,0.5097014590670417,0.3862889352258123,0.7552593526848046,0.3240618801159809,0.37964002434988586,0.737715244212648
Архангельская область,0.43343323941084755,7.755,2.509599262378372,0.32574931136717744,0.5669475760712401,0.35701152592120655,0.7645485655621158,0.14792477918016594,0.27677202593225614,0.8714484185223266
Астраханская область,0.2395928045032738,4.314,2.747270914255491,0.2855458966287848,0.5523503508556764,0.3638147621753296,0.592263455923983,0.4054094525647509,0.3738317098877397,0.780714428215171
"Башкортостан, республика",0.34876944891818695,6.098,2.451005098112319,0.32574931136717744,0.7978972645225861,0.3041991469009049,0.7175828369343078,0.35197163360624667,0.3738317098877397,0.7691885770141917
Белгородская область,0.39790978253116016,12.69,1.9740810260220096,0.401360667751128,0.628652727469204,0.42063431664557926,0.7390483789221882,0.12483947515280819,0.14297095359472944,0.9053387881370538
Брянская область,0.3151804809647869,8.82,2.6100697927420065,0.5975046322159336,0.5824300962216047,0.24794024520621427,0.7153622620612659,0.11307947970977772,0.1640374502788946,0.9086590380416473
"Бурятия, республика",0.260407654335026,7.556,2.990719731730447,0.32574931136717744,0.5488300454178374,0.2142639876422523,0.6569444417575916,0.5642493041204507,0.5863324170715805,0.613462431079626
Владимирская область,0.2565006012095248,8.931,2.5257286443082556,0.2435550874804171,0.6054431234691127,0.29441426348348454,0.6008437107068891,0.05195266009089938,0.1287140361475103,0.9601899504143034
Волгоградская область,0.23159347621365178,6.86,2.4765384001174837,0.3643113049039751,0.7125598670325328,0.28323858104729593,0.572414966954903,0.11307947970977772,0.17787503680494554,0.8953042998812855
