region,per_capita,disabled/population,poverty_percent,housing: n_room,population,gross/population,retail,newborn/population,part children,part retired
"Адыгея, республика",0.18365251673488384,0.44657615112160576,0.28624535315985133,0.4375,0.033162740320380746,0.032974233422590614,0.5048985783367462,0.18656716417910446,0.2284263959390863,0.7574257425742574
"Алтай, республика",0.06570751940425182,0.6932310114128296,0.7063197026022305,0.21875,0.01393623919262737,0.02789282428261409,0.23644475236129078,0.4776119402985075,0.6852791878172588,0.3910891089108911
Алтайский край,0.09564550793281404,0.4806178669815033,0.47211895910780666,0.21875,0.17991513038500653,0.029414421243993544,0.2874391344308458,0.11940298507462688,0.21319796954314718,0.8217821782178218
Амурская область,0.25491779715541196,0.5472255017709563,0.38661710037174724,0.1875,0.05904186238242808,0.08474624667812802,0.5434111537290376,0.21641791044776115,0.28426395939086313,0.6237623762376239
Архангельская область,0.24606097110238054,0.5144628099173554,0.2788104089219331,0.21875,0.08297575235270503,0.07345858604257108,0.5568204357457937,0.08955223880597007,0.19796954314720827,0.801980198019802
Астраханская область,0.11392041176712162,0.17591499409681233,0.4014869888475836,0.1875,0.07611789106953572,0.07597641383519568,0.3458868424213811,0.28358208955223885,0.2791878172588833,0.6782178217821782
"Башкортостан, республика",0.1830501978070115,0.3514364423455333,0.25278810408921937,0.21875,0.3161350416591209,0.055876069595481324,0.49161221473847716,0.23880597014925375,0.2791878172588833,0.6633663366336633
Белгородская область,0.2185322582853075,1.0,0.08921933085501862,0.28125,0.11912646921378937,0.09959727393330536,0.5206237551018128,0.07462686567164178,0.09644670050761439,0.8514851485148516
Брянская область,0.16042217081217233,0.6192443919716648,0.32713754646840143,0.46875,0.09089622516061463,0.040482081727104484,0.4886845214981521,0.06716417910447758,0.1116751269035533,0.8564356435643565
"Бурятия, республика",0.12614474818962093,0.4948839039748131,0.5613382899628252,0.21875,0.07454712565363471,0.032653287145083636,0.4163414450177534,0.4328358208955224,0.48223350253807107,0.4801980198019802
Владимирская область,0.123817606877387,0.6301652892561983,0.28624535315985133,0.15625,0.10402947039283304,0.052969840133485845,0.35469506454613775,0.02985074626865669,0.08629441624365486,0.9356435643564356
Волгоградская область,0.10933457447536651,0.42640692640692646,0.2639405204460967,0.25,0.1936782648175142,0.049773390561940155,0.32610535784624584,0.06716417910447758,0.12182741116751283,0.8366336633663367
Вологодская область,0.1730982464305759,0.5376820149547422,0.2973977695167287,0.15625,0.08835972989641892,0.0794179618621906,0.3693335307477631,0.16417910447761197,0.2233502538071067,0.7871287128712872
Воронежская область,0.20808750051334,0.6619441164895711,0.13754646840148702,0.28125,0.1804733081483189,0.06268252795163054,0.563477585547029,0.08955223880597007,0.035532994923857975,0.915841584158416
"Дагестан, республика",0.14762289359488576,0.7175324675324677,0.37174721189591087,0.59375,0.24273822760988475,0.019241571541597016,0.3844329410187144,0.5895522388059702,0.5786802030456855,0.15841584158415845
Еврейская АО,0.15292056234685356,0.5258756395120032,0.6988847583643123,0.15625,0.009038648823552506,0.05097479162780643,0.3278373901067435,0.23134328358208955,0.319796954314721,0.6188118811881189
Забайкальский край,0.13920411767121596,0.46536796536796543,0.5985130111524163,0.21875,0.08038559223832133,0.051419906378393075,0.31854866870971976,0.3582089552238805,0.40609137055837574,0.5000000000000001
Ивановская область,0.12867722549999314,0.5069854388036207,0.33085501858736055,0.21875,0.07543346635039759,0.025991218082057593,0.3620534080528326,0.04477611940298509,0.08121827411167526,0.915841584158416
"Ингушетия, республика",0.0,0.8808539944903581,0.9368029739776952,1.0,0.036643277868045894,0.0,0.0,0.7238805970149254,0.7411167512690358,0.0990099009900991
Иркутская область,0.14639087760605604,0.6036009445100354,0.4758364312267659,0.21875,0.18577552198960773,0.0966397617861019,0.3189341855677016,0.32089552238805963,0.34517766497461944,0.6138613861386137
Кабардино-Балкарская республика,0.06954045803616651,0.39620228256591894,0.7211895910780669,0.5,0.06523991512405287,0.013521567578000333,0.289872360396803,0.3880597014925372,0.34517766497461944,0.4801980198019802
Калининградская область,0.17304349016440565,0.40997638724911456,0.3234200743494424,0.1875,0.07665058198659361,0.07658580300174125,0.3703559885015407,0.16417910447761197,0.13705583756345174,0.7425742574257426
"Калмыкия, республика",0.04016372123584891,0.5218417945690673,0.6654275092936803,0.4375,0.017969334733157472,0.040033550763756566,0.09858336522693814,0.23880597014925375,0.36548223350253806,0.5544554455445545
Калужская область,0.2130703207348291,0.498917748917749,0.1821561338289963,0.15625,0.07586405157904469,0.0821421249562162,0.4580359312886041,0.14925373134328357,0.09137055837563457,0.8762376237623763
Камчатский край,0.5269743056220996,0.17217630853994492,0.3643122676579925,0.15625,0.021284286931864956,0.1580940921359296,0.4236187741122637,0.25373134328358204,0.20304568527918787,0.5099009900990099
Карачаево-Черкесская республика,0.028363745876168717,0.8408107044470682,0.6840148698884758,0.375,0.03335587045970039,0.012889153532381771,0.09163568098200645,0.29850746268656725,0.30456852791878175,0.5693069306930694
"Карелия, республика",0.21500047911732897,0.7126131444313263,0.3828996282527881,0.21875,0.04511274684248053,0.07504720396413381,0.491271395487218,0.11194029850746268,0.17766497461928943,0.8217821782178218
Кемеровская область,0.11712365333807886,0.5493900039354584,0.31226765799256506,0.21875,0.20688219251465575,0.04940183299364068,0.28584119499051575,0.11194029850746268,0.24365482233502544,0.7475247524752477
Кировская область,0.10013552175877125,0.6847697756788668,0.3420074349442379,0.15625,0.09642979941060481,0.03415308353485369,0.3143107768723409,0.10447761194029848,0.1573604060913707,0.9207920792079209
"Коми, республика",0.27104351754253875,0.48514364423455336,0.39033457249070636,0.1875,0.06145036935347629,0.11986752045393217,0.4217275066278171,0.16417910447761197,0.2791878172588833,0.5841584158415842
Костромская область,0.12187375942834458,0.6480716253443526,0.28624535315985133,0.15625,0.04664203676944568,0.035890356078767525,0.3600224605473781,0.11194029850746268,0.17766497461928943,0.8712871287128714
