region,per_capita,disabled/population,poverty_percent,housing: n_room,population,gross/population,retail,newborn/population,part children
"Адыгея, республика",0.3496382394740065,-0.21666715371115414,-0.11549107511974287,0.5675136160101697,0.415340208786681,0.21572788575953475,0.7275328517331268,0.28550353667372014,0.3141142508186294
"Алтай, республика",0.1496063507158496,1.0067538993129965,1.6831841357758397,0.32574931136717744,0.28400694575409363,0.19159266243535003,0.47044252792223773,0.6070769742490868,0.766252098091257
Алтайский край,0.20705760433091136,-0.047818456325292434,0.8243299548042389,0.32574931136717744,0.6997775976403654,0.1990423049837177,0.5310697463398757,0.192452590367532,0.2955913280307976
Амурская область,0.4444274829327357,0.28255890821294044,0.4307583800355458,0.2855458966287848,0.5097014590670416,0.38628893522581215,0.7552593526848046,0.32406188011598097,0.37964002434988586
Архангельская область,0.43343323941084755,0.12005423702943767,-0.16054303093518071,0.32574931136717744,0.56694757607124,0.3570115259212064,0.7645485655621158,0.14792477918016597,0.27677202593225614
Астраханская область,0.2395928045032738,-1.5591606985334279,0.5033120879712505,0.2855458966287848,0.5523503508556763,0.36381476217532943,0.592263455923983,0.405409452564751,0.3738317098877397
"Башкортостан, республика",0.34876944891818695,-0.6885651027635493,-0.3242059481524794,0.32574931136717744,0.7978972645225859,0.30419914690090477,0.7175828369343078,0.3519716336062467,0.3738317098877397
Белгородская область,0.39790978253116016,2.5283441838480196,-1.656331525966633,0.401360667751128,0.6286527274692039,0.4206343166455791,0.7390483789221882,0.12483947515280822,0.14297095359472944
Брянская область,0.3151804809647869,0.6397763836073083,0.12008730656769834,0.5975046322159336,0.5824300962216046,0.24794024520621416,0.7153622620612659,0.11307947970977775,0.1640374502788946
"Бурятия, республика",0.260407654335026,0.022941835931788734,1.1833037588164748,0.32574931136717744,0.5488300454178373,0.2142639876422522,0.6569444417575916,0.5642493041204508,0.5863324170715805
Владимирская область,0.2565006012095248,0.6939446073351421,-0.11549107511974287,0.2435550874804171,0.6054431234691126,0.29441426348348443,0.6008437107068891,0.0519526600908994,0.1287140361475103
Волгоградская область,0.23159347621365178,-0.31670756690219964,-0.25288733230225546,0.3643113049039751,0.7125598670325327,0.2832385810472958,0.572414966954903,0.11307947970977775,0.17787503680494554
Вологодская область,0.33422877922655125,0.23522271270303138,-0.04924700489412816,0.2435550874804171,0.5776180088277109,0.3728523078619042,0.6147720305267832,0.2555039368162417,0.3079722980193029
Воронежская область,0.3838592813119712,0.8515692583629846,-1.1927083622262373,0.401360667751128,0.7003143951682219,0.3258503605888515,0.7690942355911137,0.14792477918016597,0.05471597192247746
"Дагестан, республика",0.2953106516213726,1.1272903971578179,0.3562696801930104,0.7087669238580587,0.7518114132895954,0.14495883392351722,0.6287269831991118,0.7062767224004812,0.675231352380683
Еврейская АО,0.30361511722375845,0.1766624708351027,1.659613019472779,0.2435550874804171,0.22572554409422513,0.28749193222306235,0.5741860817889064,0.3427606496359532,0.4195143950760998
Забайкальский край,0.28187156931107094,-0.12345876873803381,1.320250828412153,0.32574931136717744,0.5615750874501605,0.2890513926073254,0.5646102558717079,0.48819867111345244,0.5110712714447421
Ивановская область,0.2646306278340651,0.08296608384641611,0.14055011388201238,0.32574931136717744,0.5508250758919148,0.18199252263219048,0.6078956806780562,0.07688499924760951,0.12152024437443698
"Ингушетия, республика",0.0,1.9373737429975022,2.3298338012160347,1.0,0.4313648483440954,0.0,0.0,0.8129005699506819,0.811259307967517
Иркутская область,0.29336273113015743,0.5621840631323018,0.8402454434824803,0.32574931136717744,0.7053337836814199,0.41412489281309944,0.5650115179805395,0.44772017089113514,0.44719052583501506
Кабардино-Балкарская республика,0.15727745818985284,-0.46652418568098497,1.7297378918590876,0.6265726999712982,0.5263959557516308,0.10917706170412829,0.5337794200101467,0.519365134129246,0.44719052583501506
Калининградская область,0.33414778897548825,-0.39820390350173457,0.09947348085936943,0.2855458966287848,0.553528431937541,0.3654366008452257,0.615729926547063,0.2555039368162417,0.19833087915405656
"Калмыкия, республика",0.09580398819223124,0.15665438819689342,1.5510099383329226,0.5675136160101697,0.3207795722581876,0.24611725973305176,0.25311701833134936,0.3519716336062467,0.4688719008360427
Калужская область,0.3906034858748546,0.042949918569998004,-0.8238443358800888,0.2435550874804171,0.551786192075003,0.3798031534752185,0.6914767131609567,0.23495569624692603,0.135864096393433
Камчатский край,0.7101610612355795,-1.577704775124939,0.3182669074939841,0.2435550874804171,0.3461530878848122,0.5253941870357111,0.6631537526527644,0.3701257440309705,0.2830786431242309
Карачаево-Черкесская республика,0.06921424062224002,1.7387569226621096,1.6118655199256158,0.5045144318056378,0.416268528559384,0.1049224088542577,0.2390547207487863,0.4225641964479738,0.4025906313222789
"Карелия, республика",0.3931956263565377,1.1028902963795137,0.41232160876775353,0.32574931136717744,0.4651875886863156,0.3613233723860752,0.7173248634667795,0.18151787728842175,0.2512018604420194
Кемеровская область,0.24511755880681463,0.29329495255539423,0.036703182946226966,0.32574931136717744,0.7240103619965038,0.2819098492605979,0.5292818877994367,0.18151787728842175,0.33234998491297496
Кировская область,0.21521688872681732,0.9647857259743147,0.20105415552007783,0.2435550874804171,0.5924941588544478,0.22103958796722256,0.5601769900388378,0.17045375631782497,0.22506342278789448
"Коми, республика",0.4639398586543697,-0.025370363609252832,0.44907425357328823,0.2855458966287848,0.5163774692472526,0.46156094325721386,0.6615477684061117,0.2555039368162417,0.3738317098877397
Костромская область,0.2532173720583666,0.7827609741681679,-0.11549107511974287,0.2435550874804171,0.47066007230087126,0.22868682404979024,0.6059596397114992,0.18151787728842175,0.2512018604420194
Краснодарский край,0.4665578590681525,0.020013823838392168,-0.6292171195705916,0.47136584943814797,0.8580226546922258,0.32650867461968797,0.7866911152187397,0.3701257440309705,0.27043141063970655
Красноярский край,0.3977459595749675,-0.5763246391833518,0.7433631058518582,0.2855458966287848,0.7373451666302714,0.5279780413359891,0.6500357910334102,0.3427606496359532,0.33234998491297496
Курганская область,0.15463109829539157,0.5753601175525864,1.0977921610226826,0.32574931136717744,0.5178126416935208,0.2021793145737271,0.5110883787982781,0.23495569624692603,0.3141142508186294
Курская область,0.33955001642647353,1.564540203105021,-0.766839077590025,0.32574931136717744,0.5688108973795575,0.3419337384375372,0.674346916263338,0.15925712775568734,0.14297095359472944
Ленинградская область,0.4034892769031373,-0.24985129076964752,-1.1277482086887327,0.19961052858939188,0.662457579155738,0.42690333804035224,0.7751875593535962,0.013261318951486748,0.03157723313562233
Липецкая область,0.3866106170884249,1.230258822442259,-1.225763904300334,0.3643113049039751,0.5743805147863342,0.3737549825435312,0.73798801073535,0.14792477918016597,0.1640374502788946
Магаданская область,0.8575979675132785,-1.9114981537721343,-1.1277482086887327,0.10506792410935506,0.20420653338064038,0.7390927815839047,0.7563992085309907,0.27561024529954437,0.2830786431242309
"Марий Эл, республика",0.13810866610535388,0.7417688048606178,1.1265878872554103,0.32574931136717744,0.48305322019413055,0.19870478499690983,0.4681036048005405,0.3145703538148346,0.33234998491297496
"Мордовия, республика",0.12004550860816643,0.5124078575445621,0.8402454434824803,0.43701160300930253,0.5097356657564124,0.244403382296562,0.44115619802256223,0.0,0.039340834183462015
Москва,0.9094261064530169,0.15275037207236483,-2.165584934224316,0.15352150189013558,1.0,0.666621492147801,1.0,0.30498147682785537,0.0
Московская область,0.6127548131368004,-1.0462705801734824,-1.8159841615103969,0.19961052858939188,0.9117031522962775,0.4362024944453234,0.9223844141249105,0.361092752885689,0.17787503680494554
Мурманская область,0.6039107151206631,-1.7987696881763708,-0.7109740012550961,0.2435550874804171,0.49847661430288703,0.5611512758613701,0.7505680455133801,0.2032608877462872,0.27043141063970655
Ненецкий АО,0.9602858379135277,-0.4352920566847561,-0.9115948207249543,0.43701160300930253,0.0,1.0,0.7165564643210409,0.6140279899908617,0.6056145093741363
Нижегородская область,0.41236638093052846,0.6153762828290041,-0.9115948207249543,0.2855458966287848,0.7569647163134778,0.3477955384206653,0.7389109063015242,0.192452590367532,0.14297095359472944
Новгородская область,0.26442587485966307,0.9013454639507245,0.12008730656769834,0.2855458966287848,0.46006359797580665,0.3328342590361338,0.6683240403442783,0.14792477918016597,0.19833087915405656
Новосибирская область,0.3741854431832081,-0.47189220785221186,0.16086409946275998,0.2855458966287848,0.7330983895551407,0.34133468981997767,0.6503764242748238,0.361092752885689,0.25764670554440494
Омская область,0.2886398063372777,-0.5075163549885351,0.12008730656769834,0.3643113049039751,0.6671771138720622,0.28631034558694457,0.6221783681845201,0.2555039368162417,0.3141142508186294
Оренбургская область,0.22809760405613222,0.9384336171337464,0.20105415552007783,0.47136584943814797,0.6699218694431118,0.3700796561867426,0.57802004609528,0.2952932314706331,0.3562326590257596
Орловская область,0.27736841250830047,0.31086302511577363,-0.027510236004340504,0.43701160300930253,0.4965827853910755,0.2803448225834829,0.6453617744508566,0.10116967138115279,0.12152024437443698
Пензенская область,0.2133857800356198,-0.12004275462907145,-0.005941320286431756,0.3643113049039751,0.5984327884065644,0.27287770205570483,0.5832274686983334,0.0519526600908994,0.08487611899712855
Пермский край,0.34809724476670567,0.04490192663226209,0.05778374116559322,0.32574931136717744,0.7200724439494098,0.3715999845835379,0.6903368734996711,0.3145703538148346,0.3679945699256155
Приморский край,0.47407143086316683,-0.8920619432546028,-0.005941320286431756,0.2435550874804171,0.6643306249111071,0.39186595934465435,0.7253143302607334,0.28550353667372014,0.21177309733179195
Псковская область,0.268236412687064,0.004397759340277742,0.6087268891170516,0.19961052858939188,0.4686207587759196,0.23014737204584346,0.6597408405088521,0.12483947515280822,0.1287140361475103
Республика Крым,0.18371524560911823,-0.5006843267706104,0.7760320245319116,0.401360667751128,0.665884841107102,0.17846291184138643,0.5134860688281302,0.32406188011598097,0.21843703180583196
Ростовская область,0.3716044486960275,0.3757672931860612,-0.005941320286431756,0.47136584943814797,0.8047475050383324,0.2899842859298828,0.7304496128772362,0.2032608877462872,0.15705712540931493
Рязанская область,0.2877213655104205,1.9871499485852422,-0.04924700489412816,0.32574931136717744,0.5695834824195859,0.2960346258136205,0.6488294640084264,0.10116967138115279,0.06232882237241455
Самарская область,0.3416933107204727,-0.4840922582413635,-0.16054303093518071,0.32574931136717744,0.7556686382115902,0.35204825501391684,0.6878016461776122,0.21394565902186316,0.17097659305122725
Санкт-Петербург,0.6395979076439566,1.407891556108311,-2.212529916683412,0.19961052858939188,0.8491704550050585,0.5336246517760477,0.8247373392335673,0.361092752885689,0.02376204632042933
Саратовская область,0.21159876019525115,-0.946230166982437,0.3562696801930104,0.3643113049039751,0.7075874607877056,0.25681707364085093,0.5643891273874084,0.08910618386905504,0.14297095359472944
"Саха (Якутия), республика",0.6036914744660988,-0.9969823766013088,0.7922243058546863,0.2435550874804171,0.5463144176630014,0.5849217487703242,0.7657851032390317,0.6000738904885549,0.6151382965373995
Сахалинская область,0.7657503820753382,-1.5147525151169148,-1.4688006634655688,0.19961052858939188,0.42468936064919005,0.742376163746748,0.9101246026153431,0.4641224742423522,0.3141142508186294
Свердловская область,0.4751919637078874,-0.6070687661640148,-1.0330557266824725,0.2435550874804171,0.8094340776513356,0.3943888544907897,0.7830501137071444,0.3519716336062467,0.3079722980193029
Севастополь,0.3429716174841895,-1.4454562289065325,-0.47255022531145524,0.2435550874804171,0.4099370397343437,0.20297134752386228,0.4913369421738123,0.27561024529954437,0.135864096393433
Северная Осетия - Алания,0.20863345037237035,0.4606796438945581,0.18103141238845638,0.5675136160101697,0.48752536326195284,0.1758314589580249,0.5608928268074793,0.4802419651250883,0.4139001539232505
Смоленская область,0.30582727766353734,0.1586063962591575,0.5033120879712505,0.2855458966287848,0.5394385247175723,0.27755789633381,0.6231756510206035,0.0,0.06232882237241455
Ставропольский край,0.208233628925508,-0.014634319266799055,0.16086409946275998,0.47136584943814797,0.7334391544589086,0.2150912326207947,0.6227584363096845,0.3145703538148346,0.27677202593225614
